C,Production,NOSDAILY,AEMO,PUBLIC,2018/03/05,15:00:54
I,NOS,TXOUTAGES,1,Region,Station Name,Equipment Name,Equipment Type,KV,Start Time,End Time,Status,Constraint Set ID,2nd/IS Flag,Issues,Recall Time (D),Recall Time (N),Date/Time of Original Inclusion of Outage,Date/Time of Last Change,TNSP Submitted the Outage,Resubmit Reason
D, NOS, TXOUTAGES, 1,null,null,null,null,null,2018/03/14 09:00:00,2018/03/14 16:00:00,MTLTP,,0,,60,,2018/02/13 00:00:00,2018/02/13 00:00:00,Powerlink,Information Update
D, NOS, TXOUTAGES, 1,NSW1,Armidale 330kV,Armidale Koolkhan 966 132kV LINE,line,132,2018/03/13 06:00:00,2018/03/13 15:00:00,MTLTP,N-ARKK_966,0,,60,,2018/02/23 00:00:00,2018/02/23 00:00:00,Transgrid,Information Update
D, NOS, TXOUTAGES, 1,NSW1,Armidale 330kV,Armidale 1 330kV REACT,react,330,2018/04/04 07:30:00,2018/04/04 16:16:00,SUBMIT,,0,,60,,2017/12/12 00:00:00,2017/12/12 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Armidale 330kV,Armidale 6 330/138kV XFMR,xfmr2,330/138,2018/04/04 08:00:00,2018/04/04 10:00:00,SUBMIT,,0,,,,2017/12/12 00:00:00,2017/12/12 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Armidale 330kV,Armidale 1 330kV REACT,react,330,2018/04/05 07:30:00,2018/04/05 16:16:00,SUBMIT,,0,,60,,2017/12/12 00:00:00,2017/12/12 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Armidale 330kV,Armidale PST 132/132kV XFMR,xfmr2,132/132,2018/04/05 08:00:00,2018/04/05 11:00:00,SUBMIT,,0,,60,,2017/12/12 00:00:00,2017/12/12 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Armidale 330kV,Armidale Kempsey 965 132kV LINE,line,132,2018/04/30 06:00:00,2018/06/30 17:00:00,SUBMIT,N-ARKS_965,0,,120,120,2016/05/26 00:00:00,2018/01/11 00:00:00,Transgrid,Information Update
D, NOS, TXOUTAGES, 1,NSW1,Avon 330kV,Avon 330kV 330kV BUS,bus,330,2018/03/21 05:00:00,2018/03/24 16:00:00,MTLTP,N-AV_BUS_15M,0,,120,,2017/09/23 00:00:00,2018/03/02 00:00:00,Transgrid,Information Update
D, NOS, TXOUTAGES, 1,NSW1,Avon 330kV,Avon-Macarthur 17 330kV LINE,line,330,2018/04/30 08:00:00,2018/05/12 17:00:00,SUBMIT,,0,,240,240,2017/08/08 00:00:00,2017/08/08 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Avon 330kV,Avon 330kV Marulan 16 330kV LINE,line,330,2018/06/13 06:45:00,2018/06/13 16:00:00,RESUBMIT,N-AVMN_16,0,,60,,2017/11/08 00:00:00,2017/12/01 00:00:00,Transgrid,Information Update
D, NOS, TXOUTAGES, 1,NSW1,Avon 330kV,Avon-Macarthur 17 330kV LINE,line,330,2018/07/02 08:00:00,2018/07/07 17:00:00,SUBMIT,,0,,720,720,2018/02/08 00:00:00,2018/02/08 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Bannaby 500kV,Bannaby-Gullen_Rng 61 330kV LINE,line,330,2018/03/19 06:00:00,2018/03/20 16:00:00,MTLTP,N-BYGR_61_15M,0,,120,120,2018/02/21 00:00:00,2018/02/21 00:00:00,Transgrid,Information Update
D, NOS, TXOUTAGES, 1,NSW1,Bannaby 500kV,Bannaby-Gullen_Rng 61 330kV LINE,line,330,2018/04/06 07:00:00,2018/04/13 18:00:00,SUBMIT,,0,,2400,2400,2018/02/21 00:00:00,2018/02/21 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Bannaby 500kV,Bannaby 1 500/330/33kV XFMR,xfmr3,500/330/33,2018/04/10 08:00:00,2018/04/12 16:00:00,SUBMIT,,0,,60,180,2018/02/21 00:00:00,2018/02/21 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Bannaby 500kV,Bannaby-Marulan 35 330kV LINE,line,330,2018/05/15 07:00:00,2018/05/16 15:30:00,SUBMIT,,0,,240,240,2018/02/14 00:00:00,2018/02/14 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Bannaby 500kV,Bannaby 2 500/330/33kV XFMR,xfmr3,500/330/33,2018/05/22 08:00:00,2018/05/24 16:00:00,SUBMIT,,0,,60,180,2018/02/23 00:00:00,2018/02/23 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Bannaby 500kV,Bannaby-Sydney W 39 330kV LINE,line,330,2018/05/27 06:30:00,2018/05/27 17:30:00,SUBMIT,,0,,60,,2018/02/15 00:00:00,2018/02/15 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Bannaby 500kV,Bannaby-Sydney W 39 330kV LINE,line,330,2018/05/28 06:30:00,2018/05/28 17:30:00,SUBMIT,,0,,60,,2018/02/15 00:00:00,2018/02/15 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Bannaby 500kV,Bannaby-Sydney W 39 330kV LINE,line,330,2018/06/01 06:30:00,2018/06/01 17:30:00,SUBMIT,,0,,60,,2018/02/08 00:00:00,2018/02/08 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Bannaby 500kV,Bannaby-Sydney W 39 330kV LINE,line,330,2018/06/02 06:30:00,2018/06/02 17:30:00,SUBMIT,,0,,60,,2018/02/08 00:00:00,2018/02/08 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Bannaby 500kV,Bannaby-Sydney W 39 330kV LINE,line,330,2018/06/03 06:30:00,2018/06/03 17:30:00,SUBMIT,,0,,60,,2018/02/15 00:00:00,2018/02/15 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Bannaby 500kV,Bannaby-Sydney W 39 330kV LINE,line,330,2018/06/04 06:30:00,2018/06/04 17:30:00,SUBMIT,,0,,60,,2018/02/08 00:00:00,2018/02/08 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Bannaby 500kV,Bannaby-Sydney W 39 330kV LINE,line,330,2018/06/08 06:30:00,2018/06/08 17:30:00,SUBMIT,,0,,60,,2018/02/08 00:00:00,2018/02/08 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Bannaby 500kV,Bannaby-Sydney W 39 330kV LINE,line,330,2018/06/09 06:30:00,2018/06/09 17:30:00,SUBMIT,,0,,60,,2018/02/08 00:00:00,2018/02/08 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Bannaby 500kV,Bannaby-Sydney W 39 330kV LINE,line,330,2018/06/16 06:30:00,2018/06/16 17:30:00,SUBMIT,,0,,120,,2018/02/08 00:00:00,2018/02/08 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Bannaby 500kV,Bannaby-Sydney W 39 330kV LINE,line,330,2018/06/18 06:30:00,2018/06/18 17:30:00,SUBMIT,,0,,120,,2018/02/08 00:00:00,2018/02/08 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Bannaby 500kV,Bannaby-Sydney W 39 330kV LINE,line,330,2018/06/19 06:30:00,2018/06/19 17:30:00,SUBMIT,,0,,120,,2018/02/08 00:00:00,2018/02/08 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Bannaby 500kV,Bannaby-Sydney W 39 330kV LINE,line,330,2018/06/20 06:30:00,2018/06/20 17:30:00,SUBMIT,,0,,120,,2018/02/08 00:00:00,2018/02/08 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Bannaby 500kV,Bannaby-Sydney W 39 330kV LINE,line,330,2018/06/21 06:30:00,2018/06/21 17:30:00,SUBMIT,,0,,120,,2018/02/08 00:00:00,2018/02/08 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Bannaby 500kV,Bannaby-Sydney W 39 330kV LINE,line,330,2018/06/22 06:30:00,2018/06/22 17:30:00,SUBMIT,,0,,120,,2018/02/08 00:00:00,2018/02/08 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Bannaby 500kV,Bannaby-Sydney W 39 330kV LINE,line,330,2018/06/23 06:30:00,2018/06/23 17:30:00,SUBMIT,,0,,120,,2018/02/08 00:00:00,2018/02/08 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Bannaby 500kV,Bannaby-Sydney W 39 330kV LINE,line,330,2018/06/25 06:30:00,2018/06/25 17:30:00,SUBMIT,,0,,120,,2018/02/08 00:00:00,2018/02/08 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Bannaby 500kV,Bannaby-Sydney W 39 330kV LINE,line,330,2018/06/26 06:30:00,2018/06/26 17:30:00,SUBMIT,,0,,120,,2018/02/08 00:00:00,2018/02/08 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Bannaby 500kV,Bannaby-Sydney W 39 330kV LINE,line,330,2018/06/27 06:30:00,2018/06/27 17:30:00,SUBMIT,,0,,120,,2018/02/08 00:00:00,2018/02/08 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Bannaby 500kV,Bannaby-Sydney W 39 330kV LINE,line,330,2018/06/28 06:30:00,2018/06/28 17:30:00,SUBMIT,,0,,120,,2018/02/08 00:00:00,2018/02/08 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Bannaby 500kV,Bannaby-Sydney W 39 330kV LINE,line,330,2018/06/29 06:30:00,2018/06/29 17:30:00,SUBMIT,,0,,120,,2018/02/08 00:00:00,2018/02/08 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Bannaby 500kV,Bannaby-Sydney W 39 330kV LINE,line,330,2018/06/30 06:30:00,2018/06/30 17:30:00,SUBMIT,,0,,120,,2018/02/08 00:00:00,2018/02/08 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Bannaby 500kV,Bannaby-Sydney W 39 330kV LINE,line,330,2018/07/02 06:30:00,2018/07/02 17:30:00,SUBMIT,,0,,120,,2018/02/15 00:00:00,2018/02/15 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Bannaby 500kV,Bannaby-Sydney W 39 330kV LINE,line,330,2018/07/03 06:30:00,2018/07/03 17:30:00,SUBMIT,,0,,120,,2018/02/15 00:00:00,2018/02/15 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Bannaby 500kV,Bannaby-Sydney W 39 330kV LINE,line,330,2018/07/04 06:30:00,2018/07/04 17:30:00,SUBMIT,,0,,120,,2018/02/15 00:00:00,2018/02/15 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Bannaby 500kV,Bannaby-Sydney W 39 330kV LINE,line,330,2018/07/05 06:30:00,2018/07/05 17:30:00,SUBMIT,,0,,120,,2018/02/15 00:00:00,2018/02/15 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Bannaby 500kV,Bannaby-Sydney W 39 330kV LINE,line,330,2018/07/06 06:30:00,2018/07/06 17:30:00,SUBMIT,,0,,120,,2018/02/15 00:00:00,2018/02/15 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Bannaby 500kV,Bannaby-Sydney W 39 330kV LINE,line,330,2018/07/07 06:30:00,2018/07/07 17:30:00,SUBMIT,,0,,120,,2018/02/15 00:00:00,2018/02/15 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Bannaby 500kV,Bannaby-Marulan 35 330kV LINE,line,330,2018/08/20 08:00:00,2018/08/24 17:00:00,SUBMIT,,0,,240,240,2018/02/14 00:00:00,2018/02/14 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Bannaby 500kV,Bannaby-Marulan 36 330kV LINE,line,330,2018/08/27 08:00:00,2018/08/31 17:00:00,SUBMIT,,0,,240,240,2018/02/14 00:00:00,2018/02/14 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Bannaby 500kV,Bannaby-Sydney W 39 330kV LINE,line,330,2019/04/01 07:00:00,2019/04/19 17:00:00,SUBMIT,,0,,240,360,2018/02/14 00:00:00,2018/02/14 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Beaconsfield 330kV,Becnsfld W 2 132kV CAP,cap,132,2018/05/18 07:15:00,2018/05/18 11:15:00,SUBMIT,,0,,60,,2018/02/14 00:00:00,2018/02/14 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Burrinjuck 132kV,Burrinjuck Yass 330kV 970 132kV LINE,line,132,2018/04/03 08:00:00,2018/04/14 16:00:00,SUBMIT,,0,,480,480,2018/02/21 00:00:00,2018/02/21 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Canberra 330kV,Canberra 072B 330kV CB,cb,330,2018/03/08 07:00:00,2018/03/08 15:00:00,STLTP,,0,,30,30,2018/02/22 00:00:00,2018/02/22 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Canberra 330kV,Canberra 1 132kV CAP,cap,132,2018/03/13 06:00:00,2018/03/13 16:00:00,MTLTP,,0,,120,,2018/02/14 00:00:00,2018/03/01 00:00:00,Transgrid,Information Update
D, NOS, TXOUTAGES, 1,NSW1,Canberra 330kV,Canberra 2 132kV CAP,cap,132,2018/03/14 06:00:00,2018/03/14 15:00:00,MTLTP,,0,,120,,2018/02/14 00:00:00,2018/02/14 00:00:00,Transgrid,Information Update
D, NOS, TXOUTAGES, 1,NSW1,Canberra 330kV,Canberra 3 132kV CAP,cap,132,2018/03/15 07:00:00,2018/03/15 15:00:00,MTLTP,,0,,120,,2018/02/14 00:00:00,2018/03/01 00:00:00,Transgrid,Information Update
D, NOS, TXOUTAGES, 1,NSW1,Canberra 330kV,Canberra Yass 330kV 9 330kV LINE,line,330,2018/04/26 06:00:00,2018/05/03 18:00:00,MTLTP,N-CNYS_9,0,,240,240,2017/07/21 00:00:00,2018/02/16 00:00:00,Transgrid,Information Update
D, NOS, TXOUTAGES, 1,NSW1,Canberra 330kV,Canberra 3 132kV CAP,cap,132,2018/05/17 08:00:00,2018/05/17 16:00:00,SUBMIT,,0,,60,,2018/02/23 00:00:00,2018/02/23 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Capital Wind Farm 330kV,CapitalWF 3W2B 330kV CB,cb,330,2018/03/02 14:22:00,2018/03/06 14:22:00,PTP,,0,,,,2018/03/02 00:00:00,2018/03/02 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Capital Wind Farm 330kV,CapitalWF-Canberra 6 330kV LINE,line,330,2018/05/14 08:00:00,2018/05/25 18:00:00,SUBMIT,,0,,180,120,2017/08/15 00:00:00,2017/08/15 00:00:00,Transgrid,Information Update
D, NOS, TXOUTAGES, 1,NSW1,Coffs Harbour 330kV,CoffsH330 Lismore 89 330kV LINE,line,330,2018/05/01 07:00:00,2018/05/01 17:00:00,SUBMIT,,0,,120,,2018/02/01 00:00:00,2018/02/01 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Coffs Harbour 330kV,CoffsH330 Lismore 89 330kV LINE,line,330,2018/05/02 07:00:00,2018/05/02 17:00:00,SUBMIT,,0,,120,,2018/02/01 00:00:00,2018/02/01 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Coffs Harbour 330kV,CoffsH330 Lismore 89 330kV LINE,line,330,2018/05/03 07:00:00,2018/05/03 17:00:00,SUBMIT,,0,,120,,2018/02/01 00:00:00,2018/02/01 00:00:00,Transgrid,
